Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of standing leaves (shooting),Height of following sucker (cm) (harvest),Number of standing leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in the bunch,Weight of fruit (g),Disease development time (growing phase),Youngest leaf spotted (shooting),Youngest leaf spotted (harvest),Leaf emission rate (new leaves/week) (growing phase),Index of non-spotted leaves (shooting)
BurroCemsa,A,1,BurroCemsaA1,mother,11/17/1999,5/15/2000,8/29/2000,315,79,310,18,NA,4,22,9,129,168.61,110.166666666667,8.23076923076923,15,1.15512820512821,77.7777777777778
BurroCemsa,A,2,BurroCemsaA2,mother,11/17/1999,6/6/2000,9/25/2000,340,74,325,18,NA,4,21,9,125,154.24,102.466666666667,7.33333333333333,15,1.20055555555556,77.7777777777778
BurroCemsa,A,3,BurroCemsaA3,mother,11/17/1999,6/6/2000,9/29/2000,335,74,340,18,NA,3,25,9,139,170.35,99.8666666666667,6.86666666666667,16,1.18174603174603,83.3333333333333
BurroCemsa,A,4,BurroCemsaA4,mother,11/17/1999,6/16/2000,10/9/2000,330,74,365,18,NA,4,25,9,130,176.76,94.125,7.5625,10,1.22611111111111,50
BurroCemsa,B,1,BurroCemsaB1,mother,11/17/1999,6/9/2000,9/27/2000,335,71,255,18,NA,4,25,9,128,173.18,104.266666666667,8.13333333333333,15,1.1047619047619,77.7777777777778
BurroCemsa,B,2,BurroCemsaB2,mother,11/17/1999,5/24/2000,8/29/2000,325,74,335,17,NA,5,23.5,10,134,149.02,108.333333333333,8.25,15,1.10075757575758,82.3529411764706
BurroCemsa,B,3,BurroCemsaB3,mother,11/17/1999,6/8/2000,9/29/2000,335,71,310,19,NA,4,23,8,118,179.32,107.866666666667,7.4,16,1.12876984126984,78.9473684210526
BurroCemsa,B,4,BurroCemsaB4,mother,11/17/1999,5/26/2000,9/18/2000,315,68,350,17,NA,4,23.5,8,117,176.41,106.75,8.33333333333333,16,1.0530303030303,88.2352941176471
BurroCemsa,C,1,BurroCemsaC1,mother,11/17/1999,5/31/2000,9/18/2000,330,73,340,18,NA,5,25.5,8,119,199.07,108.076923076923,6.38461538461539,16,1.05902777777778,83.3333333333333
BurroCemsa,C,2,BurroCemsaC2,mother,11/17/1999,6/2/2000,9/22/2000,340,72,320,19,NA,3,21,8,120,159.16,105,7.57142857142857,16,1.12564102564103,78.9473684210526
BurroCemsa,C,3,BurroCemsaC3,mother,11/17/1999,6/6/2000,9/27/2000,315,68,290,19,NA,4,22,8,101,193.46,95.3846153846154,7.46153846153846,15,1.08194444444444,73.6842105263158
BurroCemsa,C,4,BurroCemsaC4,mother,11/17/1999,6/25/2000,10/16/2000,330,71,330,18,NA,4,26,9,127,169.29,98.75,7.4375,11,0.94878421900161,55.5555555555556
BurroCemsa,D,1,BurroCemsaD1,mother,11/17/1999,6/7/2000,9/25/2000,330,78,365,18,NA,4,21,9,122,158.19,101.666666666667,7.13333333333333,15,1.16130952380952,77.7777777777778
BurroCemsa,D,2,BurroCemsaD2,mother,11/17/1999,5/29/2000,9/18/2000,325,73,345,18,NA,5,23,10,132,161.66,107.846153846154,6.92307692307692,15,1.18888888888889,77.7777777777778
BurroCemsa,D,3,BurroCemsaD3,mother,11/17/1999,5/20/2000,9/7/2000,325,71,215,18,NA,5,22,8,107,187.82,110.416666666667,6.66666666666667,16,1.13207070707071,83.3333333333333
BurroCemsa,D,4,BurroCemsaD4,mother,11/17/1999,6/13/2000,10/9/2000,315,71,330,19,NA,5,23.5,9,129,161.86,99.875,7.75,11,1.13722222222222,52.6315789473684
BurroCemsa,E,1,BurroCemsaE1,mother,11/17/1999,6/12/2000,10/2/2000,325,74,350,18,NA,3,28,10,138,193.84,104.6,6.66666666666667,15,1.16011904761905,77.7777777777778
BurroCemsa,E,2,BurroCemsaE2,mother,11/17/1999,6/13/2000,10/9/2000,330,72,375,19,NA,4,29,10,141,182.12,103.8,7.46666666666667,15,1.15714285714286,73.6842105263158
BurroCemsa,E,3,BurroCemsaE3,mother,11/17/1999,5/30/2000,9/18/2000,330,73,340,19,NA,5,25,9,129,184.96,106.714285714286,6.64285714285714,16,1.14487179487179,78.9473684210526
BurroCemsa,E,4,BurroCemsaE4,mother,11/17/1999,5/12/2000,8/24/2000,320,74,370,19,NA,5,30,10,142,210.48,113.363636363636,6.54545454545455,16,1.19333333333333,78.9473684210526
FHIA18,A,1,FHIA18A1,mother,11/17/1999,7/8/2000,11/2/2000,305,81,275,15,NA,8,33,10,164,179.75,NA,NA,0,1.03070987654321,100
FHIA18,A,2,FHIA18A2,mother,11/17/1999,6/27/2000,10/26/2000,310,85,285,16,NA,9,29,11,177,148.13,NA,NA,0,1.04574074074074,100
FHIA18,A,3,FHIA18A3,mother,11/17/1999,6/22/2000,10/16/2000,285,83,310,17,NA,9,31,10,162,166.17,NA,NA,0,1.09759259259259,100
FHIA18,A,4,FHIA18A4,mother,11/17/1999,6/14/2000,10/12/2000,295,88,285,18,NA,7,32.5,11,183,152.89,NA,NA,0,1.03829365079365,100
FHIA18,B,1,FHIA18B1,mother,11/17/1999,7/9/2000,11/2/2000,305,86,280,14,NA,7,28,10,170,151.88,NA,NA,0,1.17309941520468,100
FHIA18,B,2,FHIA18B2,mother,11/17/1999,7/7/2000,11/10/2000,310,85,245,15,NA,8,27,9,145,166.89,NA,NA,0,1.14385964912281,100
FHIA18,B,3,FHIA18B3,mother,11/17/1999,7/10/2000,10/27/2000,325,92,225,18,NA,9,32,11,184,144.78,NA,NA,0,1.15902777777778,100
FHIA18,B,4,FHIA18B4,mother,11/17/1999,6/11/2000,10/10/2000,300,88,270,18,NA,9,28.5,11,184,139.67,NA,NA,0,1.1640625,100
FHIA18,C,1,FHIA18C1,mother,11/17/1999,7/25/2000,11/10/2000,305,88,220,16,NA,8,28,11,177,143.27,NA,NA,0,1.05069444444444,100
FHIA18,C,2,FHIA18C2,mother,11/17/1999,7/25/2000,11/13/2000,295,93,240,16,NA,9,33,11,180,160.66,NA,NA,0,1.00790802764487,100
FHIA18,C,3,FHIA18C3,mother,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA18,C,4,FHIA18C4,mother,11/17/1999,7/4/2000,10/30/2000,285,86,310,16,NA,7,27,12,186,121.4,NA,NA,0,1.0484375,100
FHIA18,D,1,FHIA18D1,mother,11/17/1999,6/15/2000,10/10/2000,305,87,295,17,NA,8,28.5,11,189,140.31,NA,NA,0,1.07996031746032,100
FHIA18,D,2,FHIA18D2,mother,11/17/1999,6/27/2000,10/30/2000,330,90,305,16,NA,9,29,12,178,151.68,NA,NA,0,1.08627450980392,100
FHIA18,D,3,FHIA18D3,mother,11/17/1999,6/8/2000,10/9/2000,290,69,265,16,NA,8,25,10,166,126.98,NA,NA,0,1.09464285714286,100
FHIA18,D,4,FHIA18D4,mother,11/17/1999,5/29/2000,9/27/2000,305,89,330,18,NA,8,25,10,173,131.44,NA,NA,0,1.14861111111111,100
FHIA18,E,1,FHIA18E1,mother,11/17/1999,7/17/2000,11/10/2000,305,75,260,16,NA,8,15,9,129,102.94,NA,NA,0,1.19126984126984,100
