Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
PisangCeylan,A,1,PisangCeylanA1,mother,7/4/2002,9/10/2002,19/02/03,271,47,120,14,9,13.89,9,149,84,13,4,11,14,71.43
PisangCeylan,A,2,PisangCeylanA2,mother,7/4/2002,16/10/02,5/3/2003,290,49,127,16,8,15.03,10,179,86,11.5,3.9,8,16,43.75
PisangCeylan,A,3,PisangCeylanA3,mother,7/4/2002,14/10/02,25/02/03,281,46,124,17,7,15.36,11,177,80,11,3.9,10,17,52.94
PisangCeylan,B,1,PisangCeylanB1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,B,2,PisangCeylanB2,mother,7/4/2002,27/10/02,26/02/03,292,50,125,16,8,13.82,10,160,110,13,4.2,7,16,37.5
PisangCeylan,B,3,PisangCeylanB3,mother,NA,NA,NA,310,NA,110,11,NA,NA,NA,NA,58,10.5,3.7,7,16,37.5
PisangCeylan,C,1,PisangCeylanC1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,C,2,PisangCeylanC2,mother,7/4/2002,19/10/02,5/3/2003,282,48,124,16,7,15,10,165,85,10.5,3.8,8,16,43.75
PisangCeylan,C,3,PisangCeylanC3,mother,7/4/2002,13/10/02,19/02/03,275,48,122,15,8,14.5,9,156,93,12,4.2,7,15,40
Williams,A,1,WilliamsA1,mother,7/4/2002,11/12/2002,11/4/2003,NA,NA,45,11,5,24.27,11,172,136,18.5,4.1,6,11,45.45
Williams,A,2,WilliamsA2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,A,3,WilliamsA3,mother,7/4/2002,14/10/02,5/3/2003,145,45,42,17,3,14.3,8,135,92,13.5,4,5,17,23.53
Williams,B,1,WilliamsB1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,2,WilliamsB2,mother,7/4/2002,27/10/02,3/3/2003,170,48,45,17,4,17.58,10,177,94,14,3.8,6,17,29.41
Williams,B,3,WilliamsB3,mother,7/4/2002,5/10/2002,26/02/03,155,40,40,18,2,14.77,9,141,90,13,3.9,7,18,33.33
Williams,C,1,WilliamsC1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,C,2,WilliamsC2,mother,7/4/2002,6/10/2002,21/02/03,163,45,49,17,2,13.22,8,129,84,11.5,4,7,17,35.29
Williams,C,3,WilliamsC3,mother,7/4/2002,3/10/2002,1/3/2003,155,46,54,17,3,16.42,9,155,94,15,3.9,7,17,35.29
