trial_id,cycle,genotypes,dsi_f,dsi_h,bw,planting_flowering,planting_harvest
mgis_20,mother,CRBP 39,22,79,15,240.5,360.8
mgis_20,mother,FHIA-02,2,25,23.6,184,310.6
mgis_20,mother,FHIA-17,18,41,43.1,292,413.9
mgis_20,mother,FHIA-18,4,47,24.1,237.3,375.3
mgis_20,mother,FHIA-23,12,37,44.2,301.1,423.9
mgis_20,mother,PA 03-22,46,64,6.9,255.7,314.5
mgis_20,mother,PA 12-03,5,73,11.2,164.6,274.5
mgis_20,mother,PITA 16,32,98,25,292.2,410.4
mgis_20,mother,PV 03-44,2,56,10.7,183,322.4
mgis_20,mother,PV 42-320,7,91,15.6,213.4,306.7
mgis_20,mother,PV 42-53,7,78,17.5,205.4,326.6
mgis_20,mother,PV 42-81,7,98,15.2,207.6,335.5
mgis_20,mother,SH 3640,16,91,18.3,205.3,303.9
mgis_20,mother,Grand Nain,21,99,20.7,192.7,295.3
mgis_20,mother,Maricongo,34,68,16.5,260.9,366.3
mgis_20,mother,Yangambi km 5,38,60,17.1,255,379
mgis_20,mother,FHIA-01,6,23,30.6,311.7,431.3
mgis_20,mother,FHIA-21,5,15,28.4,294.8,388
mgis_20,mother,TMB2x 9128-3,24,88,13.3,137.8,257
