GENOTYPES,Disease development time (days),Disease incubation time (days),Disease evolution time (days),Youngest leaf spotted,Youngest leaf with symptoms,Leaf emergence time (days),Number of standing leaves,Number of standing leaves with <15% leaf area with symptoms, Percentage of leaf area with symptoms,Lifespan of leaves (days)
Agbagya,33.9,24.7,9.2,4.7,3.4,8.5,7.5,5.9,18.9,88
Niyarma yik,35.6,24.8,10.7,4.9,3.6,7.4,8.1,6.6,15,81
Valery,38,26.9,11.1,5.1,3.7,8.4,8.3,6.6,18.5,82
FHIA 7,39.2,24.7,14.4,5.4,3.4,9.1,6.9,6.3,7.3,70
FHIA 5,40,24.6,15.5,5.8,3.4,7.9,8.1,7.3,8.7,84
Pisang mas,42.7,25.6,17.1,6.1,3.7,7.9,10.5,8.4,17.3,70
SF 215/ NBA 14,43.2,24.4,18.8,6.9,3.9,6.6,10.6,9.5,8.3,68
FHIA 3,51.8,29.7,22.2,7.4,4.2,7.5,10,9.6,4.5,61
FHIA 6,52.4,31.6,20.6,6.4,4,8.6,7.5,7,6.4,78
Tani,53.2,37.4,16.1,5.1,3.5,11.5,8,6.4,18.2,56
FHIA 4,55.6,29.7,25.8,6.5,3.5,9.6,8.7,8.2,6.1,49
Pisang berlin,63.6,22.4,41.4,8.4,3,6.5,12.1,10.9,9.4,56
Pahang,69,33.3,37.6,10.8,4.4,6.4,11.1,10.8,3,47
FHIA 1,77.8,31.2,46.9,9.3,3.8,7.3,10.9,10.5,4,50
FHIA 2,78.6,30.3,48.5,9.9,3.8,7.8,10.2,10.1,1.1,40
Pisang lilin,97,31.4,67.9,11.8,4.4,6.6,11.4,11.3,1.7,22
Calcutta 4,--,51.3,--,,6.9,6.1,10.6,10.6,0.5,35
Tuu gia,--,53,--,,6.6,6.8,11.7,11.6,0.8,53
